"group","ticker","date","ratio","rel_1d","rel_5d","rel_20d","rel_60d","rel_ytd","sma20","sma50","sma200","above50","above200","pct_rank_1y","hi_1y","lo_1y","n","status","stale_days","","updated_at"
"Sector","XLRE","2026-09-11","0.05681089639","0.006972379412","-0.7356367007","-2.056604428","-5.483547924","-3.988881129","0.05793843083","0.05901853116","0.06044185874","FALSE","FALSE","0.7936507937","0.06468682998","0.05680693559","2740","ok","0","",""
"Sector","XLC","2026-09-11","0.1473262767","0.1329795988","0.4659175665","1.823335495","-1.581797385","-14.65788771","0.1458390162","0.1461983764","0.1601793007","TRUE","FALSE","19.04761905","0.1802694257","0.1427461844","2069","ok","0","",""
"Factor","MTUM","2026-09-11","0.4017323267","0.4271183141","3.7363513","-1.117127387","-7.550431922","9.444012723","0.398005704","0.4056182884","0.3913738991","FALSE","TRUE","74.20634921","0.4637622752","0.3591421518","2926","ok","0","",""
"Factor","SPMO","2026-09-11","0.1940493792","-0.3209916555","1.779498329","-1.160862321","-5.832964256","10.90022849","0.1938947169","0.1957162661","0.1859537504","FALSE","TRUE","75.3968254","0.2174043307","0.1705504306","2367","ok","0","",""
"Factor","SPHB","2026-09-11","0.1938531186","1.224907913","2.483019277","-0.4788385154","-4.24370608","13.01386563","0.1923898056","0.1925291154","0.1852348942","TRUE","TRUE","82.53968254","0.2105885356","0.1601765436","2940","ok","0","",""
"Factor","SPLV","2026-09-11","0.09654712217","-0.6837171293","-0.7876947836","-1.47963349","-2.762144732","-7.816559021","0.09797572896","0.1000272999","0.103967239","FALSE","FALSE","2.380952381","0.1151636945","0.09400954465","2940","ok","0","",""
"Factor","USMV","2026-09-11","0.1303301103","-0.2342752652","-1.024131834","0.01103501919","1.960787885","-5.613095991","0.131559674","0.1308718855","0.1346353211","FALSE","FALSE","22.22222222","0.1450860009","0.1262018909","2926","ok","0","",""
"Factor","QUAL","2026-09-11","0.288110534","-0.03717335838","-0.3139615405","-1.348964629","-0.7264984635","-1.083307161","0.2904203706","0.2916268034","0.2918506531","FALSE","FALSE","12.6984127","0.2986340909","0.2838526003","2926","ok","0","",""
"International","EFA","2026-09-11","0.1396066938","0.1307408273","-0.2497851946","-0.08532986598","0.4228650701","-0.8636919378","0.1403547024","0.1399223037","0.1427761551","FALSE","FALSE","19.04761905","0.1536173997","0.1376138101","2940","ok","0","",""
"International","VEA","2026-09-11","0.0951078779","0.2163558242","0.1287553864","0.6017351926","-1.324261581","3.819375856","0.09527160569","0.094649746","0.0953615005","TRUE","FALSE","59.12698413","0.1023921632","0.08919245261","2940","ok","0","",""
"International","VXUS","2026-09-11","0.1140143139","0.1431009874","0.2073969623","1.105169319","-1.248574192","3.060234572","0.1140211383","0.113316492","0.114669976","TRUE","FALSE","57.14285714","0.1221737926","0.1093685208","2929","ok","0","",""
"International","EEM","2026-09-11","0.08876211909","0.3979055383","1.716626082","3.548706056","-2.97074473","10.63546747","0.08760840013","0.08680835114","0.08677456261","TRUE","TRUE","73.41269841","0.09566222007","0.07804145124","2940","ok","0","",""
"Thematic","IGV","2026-09-11","0.1328291617","-0.5316960322","-3.974265586","-2.780251875","9.079243628","-14.29760436","0.1356718653","0.1302067525","0.131178029","TRUE","TRUE","51.19047619","0.1766390738","0.109896094","2926","ok","0","",""
"Thematic","SMH","2026-09-11","0.7438668568","0.6148033314","4.078092235","-1.779068681","-9.39194502","40.85404909","0.7347060248","0.7502979225","0.6702705046","FALSE","TRUE","76.19047619","0.8986015395","0.4579367398","2929","ok","0","",""
